Question,Tags
How is your relationship with your parents?,"relationship,parents,dad,mom,daddy,mommy,papa,mama,mother,father"
What type of music have you been listening to?,"music,mood"
How has your relationship been with your friends?,"relationship,friends,friend"
Did you have a good day today?,
What do you feel grateful for today?,
Have you made anything that you are proud of recently?,"creative,cooking"
Tell me about what you've been getting into,obsessed
Have you been taking care of yourself recently?,mood
Have you eaten any good food recently?,"food,meal,meals,yummy,delicious"
What have you been watching?,"movies,movie,netflix,youtube,film,video"
What gets you in a good mood?,"mood,happy,sad,down"
What's been getting you down recently?,"depressed,sad,mood,unhappy"
What do you like to do with your friends?,friends
Have you been keeping up well with work?,"school,work,job"
Tell me about your pet (If you have one),"pet,dog,cat"
What do you hope to do in the future?,"job,career,future"
What hobbies are you interested in?,"hobby,hobbies,"
Have you been keeping in touch with your friends?,"friends,friend"
What's your favorite thing about where you live?,"location,home,place"
Has there been anything that's frustrated you recently?,"frustrating,angry,annoyed,irate,annoying,annoy,frustrate,stressed,stress"
"If you could be anywhere right now, where would you choose?","travel,get away,holiday,vacation,break,"
What was the best year of your life?,"year,new,year's,eve"
What's something difficult you've done recently?,"challenge,challenged"
Do you miss anyone?,"girlfriend,boyfriend,relationship,ex,friends,friend,parents"
What are you looking forward to?,"break,hard,difficult,stressful,stress,stressed"
What are some things you're grateful for?,"grateful,happy,bliss,down"
Is there anything you've been craving recently?,"food,meal,meals,shopping,want,desire,crave,craving,wanting"
What's a goal that you'd like to accomplish soon?,"career,job,future,goal,goals,work,school"
Tell me about how you stay in shape,"workout,fitness,exercise,diet,running,cardio,weightlifting,weights,buff"
What do you like about the topics you're studying?,"study,studying,major,concentration,school,college"
Is there something you're stressed about?,"stress,stressed,stressing,frustrate,frustrating,school,work,job"
What do you like to do when it's nice out?,"weather,sunny,warm"
How do you deal with stress?,"relief,stress,stressed,stressing,cope,relax"
Do you have close friendships?,"friend,friends,lonely,loneliness,relationship"
Who can you rely on if you need to talk to someone?,"friend,friends,problem"
What makes you feel most accomplished?,"goals,goal,career,work,job,school,success,failure"
What obstacles have you encountered recently?,"goals,goal,career,work,job,school,success,failure"
Have you done anything you regret recently?,"goals,goal,failure,relationship"
Who makes you happy?,"friend,friends,relationship,boyfriend,girlfriend,partner"
Have you had any good news recently?,"happy,good,news"
Have you been up to anything creative?,"create,creative,project"
Have you hugged anyone recently?,"friends,relationship,partner,love"
How has your sleep been recently?,"anxiety,sleep,insomnia,late"
Did you go outside today?,"room,inside"
Has anything crazy happened to you recently?,
What's the last good thing that happened to you?,
Is there anything you want to brag about?,
Is there anything that you think makes you a lucky person?,
Have you had any good conversations recently?,
Have you read any good books recently?,